BinCenter (ps);Histo01;Histo02;Histo03;Histo04
730.5;0;0;35;24
731.5;0;0;35;21
732.5;0;0;20;38
733.5;0;0;32;19
734.5;0;0;26;27
735.5;0;0;19;23
736.5;0;0;21;25
737.5;0;0;32;23
738.5;0;0;30;28
739.5;0;0;29;31
740.5;0;0;27;18
741.5;0;0;31;22
742.5;0;0;28;37
743.5;0;0;36;26
744.5;0;0;23;26
745.5;0;0;27;29
746.5;0;0;24;33
747.5;0;0;30;30
748.5;0;0;25;35
749.5;0;0;21;17
750.5;0;0;26;32
751.5;0;0;25;33
752.5;0;0;34;38
753.5;0;0;32;39
754.5;0;0;34;26
755.5;0;0;21;23
756.5;0;0;30;28
757.5;0;0;27;19
758.5;0;0;23;26
759.5;0;0;27;25
760.5;0;0;23;24
761.5;0;0;21;31
762.5;0;0;29;32
763.5;0;0;25;26
764.5;0;0;30;33
765.5;0;0;24;27
766.5;0;0;22;29
767.5;0;0;41;26
768.5;0;0;27;30
769.5;0;0;32;28
770.5;0;0;35;28
771.5;0;0;31;35
772.5;0;0;32;25
773.5;0;0;33;19
774.5;0;0;24;31
775.5;0;0;38;27
776.5;0;0;27;27
777.5;0;0;30;22
778.5;0;0;29;19
779.5;0;0;33;25
780.5;0;0;38;31
781.5;0;0;24;33
782.5;0;0;42;30
783.5;0;0;26;24
784.5;0;0;30;33
785.5;0;0;39;29
786.5;0;0;14;30
787.5;0;0;19;37
788.5;0;0;25;30
789.5;0;0;34;27
790.5;0;0;42;29
791.5;0;0;23;31
792.5;0;0;29;26
793.5;0;0;29;21
794.5;0;0;28;36
795.5;0;0;29;29
796.5;0;0;27;29
797.5;0;0;29;36
798.5;0;0;27;27
799.5;0;0;21;20
800.5;0;0;26;27
801.5;0;0;30;29
802.5;0;0;32;26
803.5;0;0;25;25
804.5;0;0;31;33
805.5;0;0;39;28
806.5;0;0;26;26
807.5;0;0;24;23
808.5;0;0;30;31
809.5;0;1;20;35
810.5;0;0;24;25
811.5;0;0;28;31
812.5;0;0;28;35
813.5;0;0;30;26
814.5;0;0;39;26
815.5;0;0;25;30
816.5;0;0;26;21
817.5;0;0;26;30
818.5;0;0;35;33
819.5;0;0;22;39
820.5;0;0;17;25
821.5;0;0;32;21
