TITLE,280s - 183nm - n
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/11/14
TIME,15:16:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1040
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2300.0000
LASTX,  900.0000
NPOINTS,    2801
FIRSTY,     5.10183
MAXY,    10.00000
MINY,    -4.45458
XYDATA
1960.5000,0.186164
1960.0000,0.191057
1959.5000,0.186444
1959.0000,0.185698
1958.5000,0.18279
1958.0000,0.180316
1957.5000,0.177786
1957.0000,0.182878
1956.5000,0.179168
1956.0000,0.177866
1955.5000,0.175082
1955.0000,0.168301
1954.5000,0.172117
1954.0000,0.169029
1953.5000,0.166438
1953.0000,0.163938
1952.5000,0.163885
1952.0000,0.160593
1951.5000,0.159842
1951.0000,0.158699
1950.5000,0.156558
1950.0000,0.157315
1949.5000,0.153009
1949.0000,0.150184
1948.5000,0.147835
1948.0000,0.149645
1947.5000,0.143332
1947.0000,0.143618
1946.5000,0.14269
1946.0000,0.13812
1945.5000,0.139848
1945.0000,0.135708
1944.5000,0.138612
1944.0000,0.130807
1943.5000,0.131018
1943.0000,0.131486
1942.5000,0.132622
1942.0000,0.132147
1941.5000,0.130104
1941.0000,0.127119
1940.5000,0.124745
1940.0000,0.123441
1939.5000,0.121076
1939.0000,0.121114
1938.5000,0.120223
1938.0000,0.121908
1937.5000,0.118494
1937.0000,0.113738
1936.5000,0.116438
1936.0000,0.112702
1935.5000,0.111199
1935.0000,0.110277
1934.5000,0.11038
1934.0000,0.110037
1933.5000,0.10765
1933.0000,0.103087
1932.5000,0.109304
1932.0000,0.102501
1931.5000,0.1023
1931.0000,0.101642
1930.5000,0.104314
1930.0000,0.0985807
1929.5000,0.0938632
1929.0000,0.0983593
1928.5000,0.0956782
1928.0000,0.09495
1927.5000,0.0960764
1927.0000,0.0978369
1926.5000,0.0943826
1926.0000,0.0905075
1925.5000,0.0955938
1925.0000,0.0911887
1924.5000,0.0831609
1924.0000,0.0889329
1923.5000,0.0885054
1923.0000,0.090078
1922.5000,0.0878082
1922.0000,0.0875164
1921.5000,0.086839
1921.0000,0.0817505
1920.5000,0.0867459
1920.0000,0.0806896
1919.5000,0.0825699
1919.0000,0.0800366
1918.5000,0.0805975
1918.0000,0.0808139
1917.5000,0.0815554
1917.0000,0.0775503
1916.5000,0.073937
1916.0000,0.0766899
1915.5000,0.0766425
1915.0000,0.0725868
1914.5000,0.0743311
1914.0000,0.0738118
1913.5000,0.0769678
1913.0000,0.0787766
1912.5000,0.0732827
1912.0000,0.0719987
1911.5000,0.0758314
1911.0000,0.0711914
1910.5000,0.0716983
1910.0000,0.0693758
1909.5000,0.0690792
1909.0000,0.0665277
1908.5000,0.0681238
1908.0000,0.0693715
1907.5000,0.0683725
1907.0000,0.0627242
1906.5000,0.0652926
1906.0000,0.0588052
1905.5000,0.0633348
1905.0000,0.0601148
1904.5000,0.0588332
1904.0000,0.0612194
1903.5000,0.0610985
1903.0000,0.0646432
1902.5000,0.0593597
1902.0000,0.060195
1901.5000,0.0578972
1901.0000,0.065602
1900.5000,0.0597325
1900.0000,0.0617526
1899.5000,0.0602068
1899.0000,0.0569105
1898.5000,0.0545626
1898.0000,0.0585296
1897.5000,0.0586743
1897.0000,0.0598946
1896.5000,0.0611028
1896.0000,0.0575677
1895.5000,0.0558349
1895.0000,0.0560159
1894.5000,0.0579503
1894.0000,0.0551108
1893.5000,0.0623179
1893.0000,0.0558835
1892.5000,0.0570383
1892.0000,0.0595105
1891.5000,0.0553816
1891.0000,0.0536967
1890.5000,0.0547865
1890.0000,0.0602833
1889.5000,0.053749
1889.0000,0.0555446
1888.5000,0.0558083
1888.0000,0.0590317
1887.5000,0.0528502
1887.0000,0.0552689
1886.5000,0.054348
1886.0000,0.0536606
1885.5000,0.0552521
1885.0000,0.0563085
1884.5000,0.0552442
1884.0000,0.0519235
1883.5000,0.0529644
1883.0000,0.0512076
1882.5000,0.0575095
1882.0000,0.0542026
1881.5000,0.0534377
1881.0000,0.0531316
1880.5000,0.0521093
1880.0000,0.0558901
1879.5000,0.0539249
1879.0000,0.0551548
1878.5000,0.0524678
1878.0000,0.0535847
1877.5000,0.0506462
1877.0000,0.0536366
1876.5000,0.049964
1876.0000,0.0510144
1875.5000,0.0470949
1875.0000,0.0533984
1874.5000,0.0512878
1874.0000,0.0547876
1873.5000,0.0508804
1873.0000,0.0490529
1872.5000,0.0480513
1872.0000,0.0424844
1871.5000,0.0446851
1871.0000,0.0465678
1870.5000,0.0486649
1870.0000,0.0589923
1869.5000,0.0478412
1869.0000,0.0417978
1868.5000,0.047152
1868.0000,0.0479837
1867.5000,0.0446913
1867.0000,0.038286
1866.5000,0.0473678
1866.0000,0.0465869
1865.5000,0.0502596
1865.0000,0.0496616
1864.5000,0.051932
1864.0000,0.0485829
1863.5000,0.0482586
1863.0000,0.0474081
1862.5000,0.0501258
1862.0000,0.0462987
1861.5000,0.0427879
1861.0000,0.0489125
1860.5000,0.0481193
1860.0000,0.0474667
1859.5000,0.042675
1859.0000,0.0502077
1858.5000,0.0470417
1858.0000,0.0461677
1857.5000,0.0462565
1857.0000,0.0486321
1856.5000,0.0472981
1856.0000,0.0445808
1855.5000,0.0462293
1855.0000,0.04494
1854.5000,0.0509996
1854.0000,0.0454447
1853.5000,0.0463063
1853.0000,0.0499289
1852.5000,0.0461718
1852.0000,0.0442468
1851.5000,0.046147
1851.0000,0.0482126
1850.5000,0.0431129
1850.0000,0.0489295
1849.5000,0.0477063
1849.0000,0.0452936
1848.5000,0.0486724
1848.0000,0.046748
1847.5000,0.0427715
1847.0000,0.0456723
1846.5000,0.0465843
1846.0000,0.0457419
1845.5000,0.0462224
1845.0000,0.0458094
1844.5000,0.0457298
1844.0000,0.0458825
1843.5000,0.0451637
1843.0000,0.0476089
1842.5000,0.0401153
1842.0000,0.0479564
1841.5000,0.0440828
1841.0000,0.0427341
1840.5000,0.045857
1840.0000,0.0442733
1839.5000,0.0470902
1839.0000,0.0469064
1838.5000,0.044591
1838.0000,0.0450305
1837.5000,0.046418
1837.0000,0.0466034
1836.5000,0.0471761
1836.0000,0.0465541
1835.5000,0.0453288
1835.0000,0.0464721
1834.5000,0.0490841
