TITLE	280s - 183nm - n
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/13
TIME	18:35:19
SPECTROMETER/DATA SYSTEM	
LOCALE	1040
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 2500.0000
LASTX	  900.0000
NPOINTS	    3201
FIRSTY	    -2.84036
MAXY	    10.00000
MINY	    -4.40055
XYDATA
2065.5000	0.00492152
2065.0000	0.00502763
2064.5000	0.00501158
2064.0000	0.00528582
2063.5000	0.00550192
2063.0000	0.00562157
2062.5000	0.0056477
2062.0000	0.00587437
2061.5000	0.0059172
2061.0000	0.00587436
2060.5000	0.00598648
2060.0000	0.00616124
2059.5000	0.00622211
2059.0000	0.00649678
2058.5000	0.00655592
2058.0000	0.00704917
2057.5000	0.00724303
2057.0000	0.00729397
2056.5000	0.00753285
2056.0000	0.00751699
2055.5000	0.00761459
2055.0000	0.00778865
2054.5000	0.00785372
2054.0000	0.00815845
2053.5000	0.00825065
2053.0000	0.00854988
2052.5000	0.00882021
2052.0000	0.00898374
2051.5000	0.00904776
2051.0000	0.00925016
2050.5000	0.00937563
2050.0000	0.00983135
2049.5000	0.00980071
2049.0000	0.00975718
2048.5000	0.00997248
2048.0000	0.0101569
2047.5000	0.0103585
2047.0000	0.010333
2046.5000	0.0106186
2046.0000	0.0111436
2045.5000	0.0114075
2045.0000	0.0116725
2044.5000	0.0116274
2044.0000	0.0117903
2043.5000	0.01209
2043.0000	0.012128
2042.5000	0.0122927
2042.0000	0.0126192
2041.5000	0.0128649
2041.0000	0.0130944
2040.5000	0.0130802
2040.0000	0.0132295
2039.5000	0.0133393
2039.0000	0.0133563
2038.5000	0.0135399
2038.0000	0.0137125
2037.5000	0.0138009
2037.0000	0.0141003
2036.5000	0.0143105
2036.0000	0.0143909
2035.5000	0.0145545
2035.0000	0.0145146
2034.5000	0.0146986
2034.0000	0.0147136
2033.5000	0.0148966
2033.0000	0.0152406
2032.5000	0.0155338
2032.0000	0.0160385
2031.5000	0.0162718
2031.0000	0.0165236
2030.5000	0.0168811
2030.0000	0.0171413
2029.5000	0.0170409
2029.0000	0.0171503
2028.5000	0.0174162
2028.0000	0.0176059
2027.5000	0.017918
2027.0000	0.0179011
2026.5000	0.0184357
2026.0000	0.0185658
2025.5000	0.0184456
2025.0000	0.0182162
2024.5000	0.018396
2024.0000	0.0182462
2023.5000	0.0183595
2023.0000	0.0183587
2022.5000	0.0186692
2022.0000	0.0191392
2021.5000	0.0193704
2021.0000	0.0199844
2020.5000	0.0200706
2020.0000	0.0204694
2019.5000	0.0206575
2019.0000	0.0206532
2018.5000	0.0209481
2018.0000	0.0214271
2017.5000	0.0214718
2017.0000	0.0216732
2016.5000	0.0218147
2016.0000	0.0221185
2015.5000	0.0221037
2015.0000	0.0219444
2014.5000	0.0220498
2014.0000	0.0220602
2013.5000	0.0222108
2013.0000	0.0226459
2012.5000	0.0226285
2012.0000	0.0227828
2011.5000	0.0230267
2011.0000	0.0232432
2010.5000	0.0236766
2010.0000	0.0239184
2009.5000	0.0243121
2009.0000	0.0245831
2008.5000	0.0245514
2008.0000	0.0247556
2007.5000	0.0248783
2007.0000	0.0250069
2006.5000	0.0250899
2006.0000	0.0248977
2005.5000	0.0249794
2005.0000	0.0251053
2004.5000	0.0254561
2004.0000	0.0254309
2003.5000	0.0254943
2003.0000	0.0257593
2002.5000	0.0260072
2002.0000	0.0261209
2001.5000	0.0260259
2001.0000	0.0262746
2000.5000	0.0262539
2000.0000	0.0262731
1999.5000	0.0263118
1999.0000	0.0263736
1998.5000	0.0265962
1998.0000	0.0266405
1997.5000	0.0266761
1997.0000	0.0266992
1996.5000	0.0268359
1996.0000	0.0269546
1995.5000	0.0270996
1995.0000	0.0272629
1994.5000	0.0272377
1994.0000	0.027398
1993.5000	0.0273045
1993.0000	0.0271377
1992.5000	0.0271074
1992.0000	0.0274112
1991.5000	0.0273323
1991.0000	0.0272957
1990.5000	0.0273172
1990.0000	0.0273898
1989.5000	0.0276055
1989.0000	0.0272673
1988.5000	0.0270539
1988.0000	0.0271035
1987.5000	0.0270853
1987.0000	0.0270833
1986.5000	0.0269467
1986.0000	0.02676
1985.5000	0.0267354
1985.0000	0.0267607
1984.5000	0.0267174
1984.0000	0.0265001
1983.5000	0.0263067
1983.0000	0.0264973
1982.5000	0.0264409
1982.0000	0.026283
1981.5000	0.0262978
1981.0000	0.0263191
1980.5000	0.0263521
1980.0000	0.0262865
1979.5000	0.0261334
1979.0000	0.026012
1978.5000	0.025997
1978.0000	0.0256866
1977.5000	0.0255555
1977.0000	0.0253372
1976.5000	0.0251705
1976.0000	0.025199
1975.5000	0.0251823
1975.0000	0.0249459
1974.5000	0.0248343
1974.0000	0.0248264
1973.5000	0.0246287
1973.0000	0.0244637
1972.5000	0.0243239
1972.0000	0.0242441
1971.5000	0.0242058
1971.0000	0.0241031
1970.5000	0.0238453
1970.0000	0.0239209
1969.5000	0.0235974
1969.0000	0.0233988
1968.5000	0.0232368
1968.0000	0.0229808
1967.5000	0.0228326
1967.0000	0.0228045
1966.5000	0.0225941
1966.0000	0.0222919
1965.5000	0.0219848
1965.0000	0.0217832
1964.5000	0.021532
1964.0000	0.0213319
1963.5000	0.02116
1963.0000	0.0211674
1962.5000	0.0209935
1962.0000	0.0208886
1961.5000	0.0207392
1961.0000	0.0205518
1960.5000	0.0204294
1960.0000	0.0200751
1959.5000	0.0198856
1959.0000	0.0197606
1958.5000	0.0196224
1958.0000	0.019454
1957.5000	0.0192224
1957.0000	0.0191453
1956.5000	0.019177
1956.0000	0.0190702
1955.5000	0.0187129
1955.0000	0.0184867
1954.5000	0.0182836
1954.0000	0.0180364
1953.5000	0.0177446
1953.0000	0.0176289
1952.5000	0.0174854
1952.0000	0.0174219
1951.5000	0.0172458
1951.0000	0.0171577
1950.5000	0.0170201
1950.0000	0.0167936
1949.5000	0.0165435
1949.0000	0.0163249
1948.5000	0.0163605
1948.0000	0.0162132
1947.5000	0.0160803
1947.0000	0.0159889
1946.5000	0.0158134
1946.0000	0.0156195
1945.5000	0.015271
1945.0000	0.0149694
1944.5000	0.0149638
1944.0000	0.0147453
1943.5000	0.0145379
1943.0000	0.0144635
1942.5000	0.0143604
1942.0000	0.0140162
1941.5000	0.0140458
1941.0000	0.0138613
1940.5000	0.0136517
1940.0000	0.0136664
1939.5000	0.0134762
1939.0000	0.0132168
1938.5000	0.0130361
1938.0000	0.0127217
1937.5000	0.0124724
1937.0000	0.0123465
1936.5000	0.0121001
1936.0000	0.0117846
1935.5000	0.0116707
1935.0000	0.0114678
1934.5000	0.0115782
1934.0000	0.0113012
1933.5000	0.0112043
1933.0000	0.0112043
1932.5000	0.010935
1932.0000	0.0108076
1931.5000	0.0107122
1931.0000	0.0105862
1930.5000	0.010332
1930.0000	0.0101539
1929.5000	0.0101404
1929.0000	0.0100835
1928.5000	0.0098745
1928.0000	0.00962518
1927.5000	0.00967422
1927.0000	0.00961791
1926.5000	0.00956702
1926.0000	0.0093795
1925.5000	0.00935055
1925.0000	0.00928941
1924.5000	0.00936675
1924.0000	0.00939703
1923.5000	0.00925169
1923.0000	0.00895686
1922.5000	0.00881325
